Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Distance_KM
2026-05-14,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1748.15,1971.31,1859.73,15
2026-05-15,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1741.25,1963.53,1852.39,15
2026-05-16,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1720.1,1939.68,1829.89,15
2026-05-17,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1727.56,1948.1,1837.83,15
2026-05-18,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1713.24,1931.96,1822.6,15
2026-05-19,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1704.02,1921.56,1812.79,15
2026-05-20,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1696.44,1913.0,1804.72,15
2026-05-21,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1693.95,1910.19,1802.07,15
2026-05-22,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1684.1,1899.1,1791.6,15
2026-05-23,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1684.63,1899.69,1792.16,15
2026-05-24,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1676.58,1890.62,1783.6,15
2026-05-25,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1685.84,1901.06,1793.45,15
2026-05-26,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1699.42,1916.36,1807.89,15
2026-05-27,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1700.92,1918.06,1809.49,15
2026-05-28,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1707.06,1924.98,1816.02,15
2026-05-29,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1734.85,1956.33,1845.59,15
2026-05-30,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1719.6,1939.12,1829.36,15
2026-05-31,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1703.55,1921.03,1812.29,15
2026-06-01,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1712.74,1931.38,1822.06,15
2026-06-02,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1738.29,1960.19,1849.24,15
2026-06-03,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1734.96,1956.44,1845.7,15
2026-06-04,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1757.64,1982.02,1869.83,15
2026-06-05,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1758.98,1983.54,1871.26,15
2026-06-06,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1750.17,1973.59,1861.88,15
2026-06-07,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1737.3,1959.08,1848.19,15
2026-06-08,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1745.62,1968.46,1857.04,15
2026-06-09,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1733.74,1955.06,1844.4,15
2026-06-10,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1734.88,1956.36,1845.62,15
2026-06-11,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1755.68,1979.82,1867.75,15
2026-06-12,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1751.76,1975.38,1863.57,15
2026-06-13,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1769.03,1994.87,1881.95,15
2026-06-14,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1753.23,1977.05,1865.14,15
2026-06-15,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1746.34,1969.28,1857.81,15
2026-06-16,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1728.02,1948.62,1838.32,15
2026-06-17,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1729.06,1949.8,1839.43,15
2026-06-18,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1739.35,1961.39,1850.37,15
2026-06-19,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1740.42,1962.6,1851.51,15
2026-06-20,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1756.56,1980.8,1868.68,15
2026-06-21,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1746.85,1969.85,1858.35,15
2026-06-22,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1749.89,1973.27,1861.58,15
2026-06-23,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1743.07,1965.59,1854.33,15
2026-06-24,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1747.89,1971.03,1859.46,15
2026-06-25,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1754.57,1978.55,1866.56,15
2026-06-26,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1762.27,1987.25,1874.76,15
2026-06-27,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1748.35,1971.55,1859.95,15
2026-06-28,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1736.8,1958.52,1847.66,15
2026-06-29,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1727.67,1948.23,1837.95,15
2026-06-30,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1724.64,1944.8,1834.72,15
2026-07-01,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1725.87,1946.19,1836.03,15
2026-07-02,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1735.21,1956.73,1845.97,15
2026-07-03,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1724.21,1944.33,1834.27,15
2026-07-04,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1703.36,1920.8,1812.08,15
2026-07-05,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1731.64,1952.7,1842.17,15
2026-07-06,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1716.93,1936.11,1826.52,15
2026-07-07,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1727.95,1948.55,1838.25,15
2026-07-08,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1728.45,1949.11,1838.78,15
2026-07-09,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1731.83,1952.91,1842.37,15
2026-07-10,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1731.89,1952.99,1842.44,15
2026-07-11,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1726.95,1947.41,1837.18,15
2026-07-12,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1733.1,1954.34,1843.72,15
2026-07-13,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1727.45,1947.97,1837.71,15
2026-07-14,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1742.8,1965.28,1854.04,15
2026-07-15,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1750.32,1973.76,1862.04,15
2026-07-16,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1758.25,1982.71,1870.48,15
2026-07-17,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1751.7,1975.32,1863.51,15
2026-07-18,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1748.7,1971.94,1860.32,15
2026-07-19,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1733.25,1954.51,1843.88,15
2026-07-20,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1728.72,1949.4,1839.06,15
2026-07-21,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1715.25,1934.21,1824.73,15
2026-07-22,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1732.5,1953.68,1843.09,15
2026-07-23,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1733.26,1954.52,1843.89,15
2026-07-24,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1735.57,1957.13,1846.35,15
2026-07-25,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1732.71,1953.91,1843.31,15
2026-07-26,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1735.38,1956.92,1846.15,15
2026-07-27,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1767.72,1993.38,1880.55,15
2026-07-28,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1763.87,1989.05,1876.46,15
2026-07-29,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1755.46,1979.56,1867.51,15
2026-07-30,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1762.47,1987.47,1874.97,15
2026-07-31,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1729.52,1950.32,1839.92,15
2026-08-01,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1730.45,1951.35,1840.9,15
2026-08-02,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1725.67,1945.97,1835.82,15
2026-08-03,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1712.77,1931.43,1822.1,15
2026-08-04,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1719.5,1939.02,1829.26,15
2026-08-05,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1720.3,1939.92,1830.11,15
2026-08-06,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1696.81,1913.43,1805.12,15
2026-08-07,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1688.44,1903.98,1796.21,15
2026-08-08,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1650.74,1861.48,1756.11,15
2026-08-09,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1654.67,1865.91,1760.29,15
2026-08-10,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1658.46,1870.18,1764.32,15
2026-08-11,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1648.18,1858.58,1753.38,15
2026-08-12,Uttar Pradesh,Agra,Agra Mandi,Onion,Local,1655.32,1866.64,1760.98,15
